pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_dens,st_vsin,rastr,ra,decstr,dec,sy_dist,rowupdate
Kepler-367 b,Kepler-367,1,2,Transit,2014,Kepler,0,37.81572400,0.201000,1.300,0.116,,,,,,,,,,0,,4710.00,0.69,,,,,,19h49m10.21s,297.2925580,+49d58m54.30s,49.9817499,188.0270000,2014-05-14
Kepler-367 c,Kepler-367,1,2,Transit,2014,Kepler,0,53.57863700,0.253000,1.200,0.107,,,,,,,,,,0,,4710.00,0.69,,,,,,19h49m10.21s,297.2925580,+49d58m54.30s,49.9817499,188.0270000,2014-05-14
Kepler-368 b,Kepler-368,1,2,Transit,2014,Kepler,0,26.84768000,0.186000,3.260,0.291,,,,,,,,,,0,,5502.00,2.02,,,,,,19h27m31.20s,291.8800180,+45d23m16.23s,45.3878419,770.9780000,2014-05-14
Kepler-368 c,Kepler-368,1,2,Transit,2014,Kepler,0,72.37933400,0.360000,3.880,0.346,,,,,,,,,,0,,5502.00,2.02,,,,,,19h27m31.20s,291.8800180,+45d23m16.23s,45.3878419,770.9780000,2014-05-14
Kepler-369 b,Kepler-369,1,2,Transit,2014,Kepler,0,2.73275600,0.030000,1.130,0.101,,,,,,,,,,0,,3591.00,0.47,,,,,,19h34m41.84s,293.6743322,+47d54m30.50s,47.9084727,,2014-05-14
Kepler-369 c,Kepler-369,1,2,Transit,2014,Kepler,0,14.87157200,0.094000,1.410,0.126,,,,,,,,,,0,,3591.00,0.47,,,,,,19h34m41.84s,293.6743322,+47d54m30.50s,47.9084727,,2014-05-14
Kepler-37 b,Kepler-37,1,4,Transit,2013,Kepler,0,13.36731000,,0.296,0.026,3.17830,0.01000,3.17830,0.01000,Mass,,0.000000,,,0,,5417.00,0.79,0.87,,,2.5000,,18h56m14.22s,284.0592503,+44d31m06.14s,44.5183733,63.9207000,2020-11-13
Kepler-37 c,Kepler-37,1,4,Transit,2013,Kepler,0,21.30200000,,0.750,0.067,12.00000,0.03776,12.00000,0.03776,Mass,,,,,0,,5417.00,0.77,0.80,,5.660,2.4600,0.5000,18h56m14.22s,284.0592503,+44d31m06.14s,44.5183733,63.9207000,2016-10-26
Kepler-37 d,Kepler-37,1,4,Transit,2013,Kepler,0,39.79220000,,1.940,0.173,12.20000,0.03839,12.20000,0.03839,Mass,,,,,1,,5417.00,0.77,0.80,,5.660,2.4600,0.5000,18h56m14.22s,284.0592503,+44d31m06.14s,44.5183733,63.9207000,2016-10-26
Kepler-37 e,Kepler-37,1,4,Transit Timing Variations,2014,Kepler,0,51.19600000,,,,,,,,,,,,,1,,,0.77,0.80,,,,,18h56m14.22s,284.0592503,+44d31m06.14s,44.5183733,63.9207000,2014-05-28
Kepler-370 b,Kepler-370,1,2,Transit,2014,Kepler,0,4.57953000,0.054000,1.590,0.142,,,,,,,,,,0,,5852.00,0.90,,,,,,19h28m41.06s,292.1710683,+40d54m58.46s,40.9162381,1167.9400000,2014-05-14
Kepler-370 c,Kepler-370,1,2,Transit,2014,Kepler,0,19.02293000,0.140000,1.910,0.170,,,,,,,,,,0,,5852.00,0.90,,,,,,19h28m41.06s,292.1710683,+40d54m58.46s,40.9162381,1167.9400000,2014-05-14
Kepler-371 b,Kepler-371,1,2,Transit,2014,Kepler,0,34.76327800,0.200000,1.890,0.169,,,,,,,,,,0,,5666.00,0.99,,,,,,19h29m18.36s,292.3264835,+38d39m27.16s,38.6575441,813.1920000,2014-05-14
Kepler-371 c,Kepler-371,1,2,Transit,2014,Kepler,0,67.96801500,0.313000,1.780,0.159,,,,,,,,,,0,,5666.00,0.99,,,,,,19h29m18.36s,292.3264835,+38d39m27.16s,38.6575441,813.1920000,2014-05-14
Kepler-372 b,Kepler-372,1,3,Transit,2014,Kepler,0,6.84969200,0.075000,1.360,0.121,,,,,,,,,,0,,6509.00,1.14,,,,,,19h25m01.49s,291.2562253,+49d15m32.14s,49.2589288,1493.9500000,2014-05-14
Kepler-372 c,Kepler-372,1,3,Transit,2014,Kepler,0,20.05376300,0.154000,2.090,0.186,,,,,,,,,,0,,6509.00,1.14,,,,,,19h25m01.49s,291.2562253,+49d15m32.14s,49.2589288,1493.9500000,2014-05-14
Kepler-372 d,Kepler-372,1,3,Transit,2014,Kepler,0,30.09256800,0.201000,1.690,0.151,,,,,,,,,,0,,6509.00,1.14,,,,,,19h25m01.49s,291.2562253,+49d15m32.14s,49.2589288,1493.9500000,2014-05-14
Kepler-373 b,Kepler-373,1,2,Transit,2014,Kepler,0,5.53530900,0.060000,1.360,0.121,,,,,,,,,,0,,5787.00,0.84,,,,,,19h17m33.12s,289.3879904,+50d35m49.24s,50.5970115,1090.4500000,2014-05-14
Kepler-373 c,Kepler-373,1,2,Transit,2014,Kepler,0,16.72594800,0.126000,1.240,0.111,,,,,,,,,,0,,5787.00,0.84,,,,,,19h17m33.12s,289.3879904,+50d35m49.24s,50.5970115,1090.4500000,2014-05-14
Kepler-374 b,Kepler-374,1,3,Transit,2014,Kepler,0,1.89780600,0.029000,1.030,0.092,,,,,,,,,,0,,5977.00,0.91,,,,,,19h36m33.09s,294.1378921,+42d22m13.47s,42.3704075,1265.6100000,2014-05-14
Kepler-374 c,Kepler-374,1,3,Transit,2014,Kepler,0,3.28280700,0.042000,1.100,0.098,,,,,,,,,,0,,5977.00,0.91,,,,,,19h36m33.09s,294.1378921,+42d22m13.47s,42.3704075,1265.6100000,2014-05-14
Kepler-374 d,Kepler-374,1,3,Transit,2014,Kepler,0,5.02821900,0.056000,1.310,0.117,,,,,,,,,,0,,5977.00,0.91,,,,,,19h36m33.09s,294.1378921,+42d22m13.47s,42.3704075,1265.6100000,2014-05-14
Kepler-375 b,Kepler-375,1,2,Transit,2014,Kepler,0,12.12593400,0.101000,1.450,0.129,,,,,,,,,,0,,5826.00,0.84,,,,,,19h14m28.29s,288.6178715,+48d05m54.11s,48.0983639,1238.8100000,2014-05-14
Kepler-375 c,Kepler-375,1,2,Transit,2014,Kepler,0,19.98632600,0.141000,2.650,0.236,,,,,,,,,,0,,5826.00,0.84,,,,,,19h14m28.29s,288.6178715,+48d05m54.11s,48.0983639,1238.8100000,2014-05-14
Kepler-376 b,Kepler-376,1,2,Transit,2014,Kepler,0,4.92019900,0.057000,1.070,0.095,,,,,,,,,,0,,5900.00,1.18,,,,,,19h26m25.71s,291.6071451,+38d24m37.15s,38.4103192,923.0670000,2014-05-14
Kepler-376 c,Kepler-376,1,2,Transit,2014,Kepler,0,14.17232700,0.115000,1.790,0.160,,,,,,,,,,0,,5900.00,1.18,,,,,,19h26m25.71s,291.6071451,+38d24m37.15s,38.4103192,923.0670000,2014-05-14
Kepler-377 b,Kepler-377,1,2,Transit,2014,Kepler,0,12.50952900,0.109000,1.390,0.124,,,,,,,,,,0,,5949.00,1.22,,,,,,19h41m41.30s,295.4220717,+38d44m08.43s,38.7356737,823.8040000,2014-05-14
Kepler-377 c,Kepler-377,1,2,Transit,2014,Kepler,0,27.01497600,0.182000,2.060,0.184,,,,,,,,,,0,,5949.00,1.22,,,,,,19h41m41.30s,295.4220717,+38d44m08.43s,38.7356737,823.8040000,2014-05-14
Kepler-378 b,Kepler-378,1,2,Transit,2014,Kepler,0,16.09236100,0.112000,0.750,0.067,,,,,,,,,,0,,4661.00,0.67,,,,,,19h39m47.75s,294.9489697,+46d26m19.92s,46.4388673,152.0940000,2014-05-14
Kepler-378 c,Kepler-378,1,2,Transit,2014,Kepler,0,28.90600900,0.166000,0.700,0.062,,,,,,,,,,0,,4661.00,0.67,,,,,,19h39m47.75s,294.9489697,+46d26m19.92s,46.4388673,152.0940000,2014-05-14
Kepler-379 b,Kepler-379,1,2,Transit,2014,Kepler,0,20.09838000,0.152000,1.660,0.148,,,,,,,,,,0,,6054.00,1.31,,,,,,19h42m48.26s,295.7010981,+38d56m44.96s,38.9458209,731.2740000,2014-05-14
